steam_addr,sh4_pc,confidence,evidence,method,steam_name,sh4_label,bank,sh4_role,score,runner_up,steam_ninsn,sh4_ninsn
0x140036410,0x8c125e00,low,k:200#1(9.9) k:170#1(9.9) ko:200(4.3) ko:170(4.3),fingerprint+callgraph,caseD_39,loc_8c125e00,bank12,,28.37,runner-up: sh4 0x8c042d0c(12.2) / steam 0x140845420(24.4),2,6
0x140036560,0x8c0321d2,high,sw:8#0#18(9.9) k:8#18(9.9) kl:8#-2(7.9) ko:8(3.4),fingerprint,caseD_88,loc_8c0321d2,bank03,,31.12,runner-up: sh4 0x8c129668(1.7) / steam 0x140254720(4.9),1,5
0x14003a4c0,0x8c129740,medium,sw:26#1#0(9.9) k:26#1(9.9) ko:26(4.6),fingerprint+callgraph,FUN_14003a4c0,loc_8c129740,bank12,,24.34,runner-up: sh4 0x8c12939c(12.5) / steam -(0.0),27,27
0x140048460,0x8c02738a,low,sw:244#0#0(9.9) ko:244(4.9),fingerprint+callgraph,FUN_140048460,loc_8c02738a,bank02,,14.8,runner-up: sh4 0x8c06d28c(8.0) / steam 0x14043eda0(6.9),97,18
0x14006b5d0,0x8c174b52,high,sw:168#0#1(9.9) sw:128#0#0(9.9) k:168#1(9.9) k:128#0(9.9) kl:168#-1(7.9) kl:128#-1(7.9) ko:128(4.9) ko:168(4.6),fingerprint+callgraph,FUN_14006b5d0,loc_8c174b52,bank17,,32.41,runner-up: sh4 0x8c1258e0(16.3) / steam 0x140845520(4.6),11,56
0x140108c10,0x8c05702e,low,c:214(8.4) c:218(6.9),fingerprint+callgraph,FUN_140108c10,loc_8c05702e,bank05,,15.22,runner-up: sh4 0x8c0573e8(10.2) / steam 0x1404d60e0(12.7),310,62
0x14022f760,0x8c0eefcc,high,c:2b1(9.9) c:2af(9.9) c:2b0(8.0),fingerprint+callgraph,FUN_14022f760,loc_8c0eefcc,bank0e,,27.76,runner-up: sh4 0x8c056454(14.9) / steam 0x14022caa0(9.9),1152,278
0x1402aa140,0x8c027b64,high,c:297(9.9) c:296(9.9) c:2a1(9.5) c:29f(8.5) c:2a0(7.1),fingerprint,FUN_1402aa140,loc_8c027b64,bank02,,44.89,runner-up: sh4 0x8c024b60(32.6) / steam 0x14060e170(27.3),1411,614
0x140608f30,0x8c041c08,medium,b:3cfb(8.9) c:27b0(8.6),fingerprint,FUN_140608f30,loc_8c041c08,bank04,,17.56,runner-up: sh4 0x8c012416(8.9) / steam 0x140609250(8.9),69,13
0x1406090a0,0x8c0420b8,medium,b:3cfd(9.6) c:4a9(8.8) c:2ab0(7.9) c:40a00000(5.9) r:51(5.0) r:217(4.6),fingerprint+callgraph,FUN_1406090a0,loc_8c0420b8,bank04,,41.78,runner-up: sh4 0x8c064fe0(33.5) / steam 0x140609990(33.0),90,79
